name,salary,published_at,area_name
Support Engineer,,2003-08-21 00:00:00+04:00,Москва
Менеджер проектов - строительство объектов связи,,2003-08-28 00:00:00+04:00,Москва
Специалист центра обработки заявок (Call-center),,2003-08-28 00:00:00+04:00,Москва
Главный   специалист  службы развития первичной сети,,2003-08-28 00:00:00+04:00,Москва
Менеджер по развитию бизнеса.,61007.0,2003-09-26 00:00:00+04:00,Москва
Technical Consultant (telecom sphere),91510.0,2003-09-01 00:00:00+04:00,Москва
Функциональный консультант,61007.0,2003-09-01 00:00:00+04:00,Москва
Программист 1С (г. Москва),,2003-09-19 00:00:00+04:00,Москва
C Developer.,39654.0,2003-09-01 00:00:00+04:00,Москва
SAP R/3 (SD module) Консультант,91510.0,2003-09-01 00:00:00+04:00,Москва
Team Leader,45755.0,2003-09-01 00:00:00+04:00,Санкт-Петербург
С/C++ разработчика под Linux,36604.0,2003-09-01 00:00:00+04:00,Санкт-Петербург
Recruitment Researcher (IT/Telecom),,2003-08-28 00:00:00+04:00,Москва
PMA-2 Администратор проектов,48805.0,2003-09-22 00:00:00+04:00,Москва
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,39362.0,2003-08-26 00:00:00+04:00,Москва
Product-manager  (телефония),,2003-08-28 00:00:00+04:00,Москва
Программист 1С,,2003-09-04 00:00:00+04:00,Москва
Маркетолог,48805.0,2003-09-30 00:00:00+04:00,Москва
Senior CAD Engineer   (Job# 253952),,2003-12-16 00:00:00+03:00,Москва
Senior Research Scientist   (Job# 259572),,2003-12-16 00:00:00+03:00,Нижний Новгород
Intel Tools Business Development Manager   (Job# 257157),,2003-09-01 00:00:00+04:00,Нижний Новгород
Business Development Manager   (Job# 263908),,2003-12-16 00:00:00+03:00,Екатеринбург
Applications Engineer   (Job# 257161),,2003-12-16 00:00:00+03:00,Нижний Новгород
Разработчик компиляторов,30279.0,2003-08-27 00:00:00+04:00,Санкт-Петербург
Инженер сервисной службы (группа ремонта ноутбуков) в крупную IT компанию.,,2003-10-17 00:00:00+04:00,Москва
Руководитель проектов,36334.0,2003-08-27 00:00:00+04:00,Санкт-Петербург
