name,salary_from,salary_to,salary_currency,area_name,published_at
Фрезеровщик,40000.0,,RUR,Глазов,2022-12-05T07:53:51+0300
Специалист технической поддержки программного обеспечения,30000.0,,RUR,Новосибирск,2022-12-05T05:29:46+0300
Программист 1C,,,,Якутск,2022-12-05T04:12:24+0300
Руководитель отдела основного ремонта,,,,Верхняя Пышма,2022-12-05T07:25:04+0300
Механик,80000.0,,RUR,Красноярск,2022-12-05T07:18:25+0300
Фрезеровщик 4-5 разряда,50000.0,,RUR,Уфа,2022-12-05T07:34:56+0300
Инженер - установщик ГЛОНАСС,,,,Новосибирск,2022-12-05T06:12:56+0300
Инженер автоматизированных систем управления 1 категории,60000.0,60000.0,RUR,Тобольск,2022-12-05T07:11:51+0300
Специалист/Аналитик Информационных Технологий,,,,Южно-Сахалинск,2022-12-05T06:24:09+0300
Программист 1C,,,,Саратов,2022-12-05T07:39:57+0300
Токарь-универсал на 1М63,80000.0,80000.0,RUR,Екатеринбург,2022-12-05T07:25:49+0300
Механик,,,,Нерюнгри,2022-12-05T05:15:14+0300
Специалист технической поддержки,60000.0,75000.0,RUR,Артем,2022-12-05T06:12:26+0300
Механик по ремонту и обслуживанию технологического оборудования,50000.0,55000.0,RUR,Красноярск,2022-12-05T05:51:51+0300
Механик,100000.0,160000.0,RUR,Комсомольск-на-Амуре,2022-12-05T05:35:26+0300
Наладчик ТПА (термопластавтоматов),50000.0,,RUR,Димитровград,2022-12-05T07:19:48+0300
Руководитель отдела ИТ,,,,Новосибирск,2022-12-05T05:25:32+0300
Главный специалист отдела информационной безопасности,,,,Алматы,2022-12-05T05:56:45+0300
Механик,40000.0,55000.0,RUR,Барнаул,2022-12-05T05:26:02+0300
Копирайтер CHITA.RU,40000.0,,RUR,Чита,2022-12-05T05:01:29+0300
Программист - разработчик сайтов,,,,Новосибирск,2022-12-05T06:44:51+0300
Сервисный инженер (ремонт техники),40000.0,,RUR,Новосибирск,2022-12-05T05:22:06+0300
Оператор станка с программным управлением,23000.0,,RUR,Кандры,2022-12-05T06:43:11+0300
Оператор-наладчик ЧПУ (Фрезерный HAAS VF-4 +4ось),60000.0,80000.0,RUR,Екатеринбург,2022-12-05T07:22:52+0300
Токарь,45000.0,,RUR,Павловск (Алтайский край),2022-12-05T05:27:23+0300
Токарь-универсал на 1М63,80000.0,80000.0,RUR,Первоуральск,2022-12-05T07:25:32+0300
Программист PHP/Битрикс/JS,120000.0,,RUR,Санкт-Петербург,2022-12-05T04:50:12+0300
Ведущий инженер АСУ ТП,100000.0,,RUR,Южноуральск,2022-12-05T07:56:18+0300
Шлифовщик,45000.0,60000.0,RUR,Кулебаки,2022-12-05T07:37:04+0300
Токарь,63000.0,80000.0,RUR,Абакан,2022-12-05T04:49:55+0300
Наладчик технологического оборудования,50000.0,62000.0,RUR,Выкса,2022-12-05T07:38:37+0300
Мастер по ремонту бытовой техники,50000.0,,RUR,Калуга,2022-12-05T07:11:03+0300
Системный администратор (с функцией поддержки пользователей),,,,Новосибирск,2022-12-05T06:38:52+0300
Техник по обслуживанию систем безопасности,37000.0,48000.0,RUR,Новосибирск,2022-12-05T05:55:53+0300
Инженер по станкам ЧПУ,16000.0,22000.0,RUR,Очер,2022-12-05T06:37:28+0300
Оператор станков ЧПУ 3-5 разряда,25000.0,50000.0,RUR,Очер,2022-12-05T06:37:27+0300
Ведущий программист 1С,,,,Новосибирск,2022-12-05T07:44:49+0300
Бизнес-аналитик,,,,Саратов,2022-12-05T07:37:53+0300
Инженер-механик,40000.0,,RUR,Самара,2022-12-05T07:51:16+0300
Ведущий инженер технической поддержки,,60000.0,RUR,Комсомольск-на-Амуре,2022-12-05T05:36:22+0300
Инженер-технолог (программист) по разработке управляющих программ для станков с ЧПУ,70000.0,,RUR,Новосибирск,2022-12-05T04:26:05+0300
Технический специалист,35000.0,,RUR,Волгоград,2022-12-05T05:07:56+0300
Фрезеровщик,26000.0,36400.0,RUR,Краснокамск,2022-12-05T05:56:43+0300
Аналитик 1С,,,,Новосибирск,2022-12-05T05:47:13+0300
Оператор станков с программным управлением,40000.0,45000.0,RUR,Новосибирск,2022-12-05T05:47:14+0300
Системный администратор,,,,Бишкек,2022-12-05T06:10:50+0300
IT Директор,,,,Бишкек,2022-12-05T06:14:59+0300
Механик по техническому обслуживанию спецтехники (Красноярск),70000.0,,RUR,Красноярск,2022-12-05T04:46:06+0300
Full Stack веб разработчик,250000.0,300000.0,KZT,Алматы,2022-12-05T06:11:05+0300
Механик,35000.0,,RUR,Ишимбай,2022-12-05T06:43:19+0300
.NET Developer,,,,Алматы,2022-12-05T07:27:27+0300
Эксперт опорной транспортной сети,,,,Алматы,2022-12-05T07:54:06+0300
Токарь-фрезеровщик,40000.0,,RUR,Тюмень,2022-12-05T06:19:25+0300
Ведущий инженер-системный программист,50000.0,,RUR,Пермь,2022-12-05T07:55:27+0300
Наладчик сварочного и газоплазморезательного оборудования,35000.0,,RUR,Омск,2022-12-05T04:48:58+0300
Оператор токарных станков с ЧПУ (обрабатывающие центры) 3-5 разряда,35000.0,50000.0,RUR,Очер,2022-12-05T06:37:27+0300
Шлифовщик 5 разряда-6 разряда,30000.0,30000.0,RUR,Новосибирск,2022-12-05T07:16:24+0300
Токарь-расточник,60000.0,,RUR,Пермь,2022-12-05T06:37:26+0300
Токарь-универсал,45000.0,80000.0,RUR,Чебаркуль,2022-12-05T06:16:55+0300
Оператор станков с ЧПУ на станок MAZAK в Павловск,,,,Очер,2022-12-05T06:37:26+0300
Токарь-расточник,50000.0,,RUR,Пермь,2022-12-05T07:23:35+0300
Мастер по ремонту электрооборудования,40000.0,,RUR,Кыштым,2022-12-05T05:38:28+0300
Токарь,40000.0,70000.0,RUR,Нефтекамск,2022-12-05T06:58:33+0300
Токарь 3-6 разряда,25000.0,40000.0,RUR,Очер,2022-12-05T06:37:27+0300
Токарь,45000.0,,RUR,Выкса,2022-12-05T07:39:00+0300
Старший системный администратор,37000.0,,RUR,Керчь,2022-12-05T06:51:39+0300
Токарь-расточник 3-6 разряда,,,,Очер,2022-12-05T06:37:26+0300
Сверловщик,25000.0,40000.0,RUR,Томск,2022-12-05T05:29:10+0300
Разработчик 1С,120000.0,,RUR,Барнаул,2022-12-05T06:57:01+0300
Оператор станков с ЧПУ,45000.0,,RUR,Уфа,2022-12-05T06:12:10+0300
Начальник ПТО (автотранспортное предприятие),,,,Иркутск,2022-12-05T06:25:18+0300
Инженер-программист - САПР,40000.0,,RUR,Миасс,2022-12-05T06:43:05+0300
Руководитель технической группы,,,,Новокузнецк,2022-12-05T07:00:19+0300
Наладчик технологического оборудования,50000.0,62000.0,RUR,Муром,2022-12-05T07:38:50+0300
Консультант 1C,,,,Энгельс,2022-12-05T07:16:32+0300
Токарь,30000.0,,RUR,Октябрьский (Республика Башкортостан),2022-12-05T06:42:44+0300
Токарь (механо-сборочный цех),45000.0,65000.0,RUR,Омск,2022-12-05T06:05:25+0300
Системный администратор (технологии Microsoft),80000.0,150000.0,RUR,Новосибирск,2022-12-05T07:50:39+0300
Токарь,50000.0,100000.0,RUR,Уссурийск,2022-12-05T06:34:40+0300
Оператор станков с ЧПУ,45000.0,,RUR,Пермь,2022-12-05T06:37:27+0300
Механик по крановому хозяйству,,,,Жигулевск,2022-12-05T07:13:21+0300
Разработчик интеграционных решений,,,,Екатеринбург,2022-12-05T07:35:03+0300
Выездной мастер по ремонту холодильников,50000.0,,RUR,Калуга,2022-12-05T07:09:54+0300
Токарь-фрезеровщик,30000.0,30000.0,RUR,Новосибирск,2022-12-05T07:17:04+0300
Оператор лазерного станка (швейное производство),40000.0,,RUR,Челябинск,2022-12-05T07:06:23+0300
Шлифовщик,45000.0,60000.0,RUR,Муром,2022-12-05T07:36:57+0300
Начальник информационно-аналитического отдела Департамента Экономической Безопасности,,,,Алматы,2022-12-05T06:15:28+0300
Системный инженер (DevOps),,,,Бишкек,2022-12-05T06:16:40+0300
Middle/Middle + .NET developer,,,,Санкт-Петербург,2022-12-05T07:57:00+0300
Фрезеровщик,40000.0,,RUR,Самара,2022-12-05T06:56:47+0300
Программист 1C,100000.0,,RUR,Екатеринбург,2022-12-05T07:00:44+0300
Руководитель отдела (распределение),80000.0,120000.0,RUR,Новосибирск,2022-12-05T05:47:13+0300
"Ведущий консультант SAP, модуль CO/FI (контроллинг/финансы)",,,,Москва,2022-12-05T06:59:39+0300
Оператор-наладчик ЧПУ (Фрезерный HAAS VF-4 +4ось),60000.0,80000.0,RUR,Первоуральск,2022-12-05T07:24:37+0300
Бизнес-аналитик (подсистема «Отчетность»),,,,Екатеринбург,2022-12-05T06:10:13+0300
Главный инженер (автотранспорт),,,,Иркутск,2022-12-05T06:24:51+0300
Слесарь-сборщик РЭА и приборов,,,,Астана,2022-12-05T05:39:14+0300
Старший механик (Атырау),,,,Атырау,2022-12-05T07:23:57+0300
Токарь,38000.0,50000.0,RUR,Омск,2022-12-05T06:02:16+0300
Токарь (5 разряд) в Инструментальный отдел,50000.0,,RUR,Пермь,2022-12-05T06:37:26+0300
"Инженер-программист-администратор, Сектор системотехники и базового программного обеспечения",,,,Караганда,2022-12-05T06:48:41+0300
Токарь-универсал,50000.0,,RUR,Пермь,2022-12-05T06:37:28+0300
Машинист экструдера,40000.0,50000.0,RUR,Самара,2022-12-05T07:56:36+0300
